----------------------- Sparsity - 0.05 -----------------------
1,6.886,5.776,5.031,6.052,0.271,16.826
2,49.69,49.452,46.159,50.037,2.508,37.736
3,54.182,53.378,49.187,52.46,2.435,13.869
4,124.907,123.861,120.169,121.187,5.539,22.555
5,61.091,60.643,58.979,60.996,3.044,10.002
6,121.994,121.061,118.57,125.457,7.284,17.75
7,120.78,121.391,118.978,124.636,7.519,17.758
8,49.744,49.704,67.271,80.181,4.055,9.422
9,99.675,99.658,137.158,165.685,8.112,18.304
10,99.747,99.267,137.163,166.846,8.105,17.662
11,27.864,27.418,46.095,78.819,3.096,5.479
12,27.985,27.805,45.822,80.725,3.091,5.472
13,27.9,27.613,45.743,79.208,3.097,5.468
----------------------- Sparsity - 0.1 -----------------------
1,6.542,5.287,5.064,6.231,0.485,17.867
2,90.248,75.834,46.65,51.081,5.417,36.136
3,92.081,82.958,54.829,58.59,5.396,13.314
4,121.109,113.52,118.079,119.418,11.566,22.266
5,61.179,60.109,59.374,59.995,6.202,10.121
6,121.743,121.338,118.511,120.866,13.063,18.015
7,119.879,119.753,117.572,121.116,12.481,18.018
8,50.624,50.308,65.201,82.026,7.042,9.591
9,102.57,104.331,137.096,160.903,14.283,17.791
10,178.874,99.739,136.207,167.699,14.248,17.924
11,28.169,27.468,45.967,72.598,4.913,5.533
12,27.519,27.192,46.048,70.642,4.943,5.535
13,27.174,27.27,46.059,70.74,4.941,6.131
----------------------- Sparsity - 0.25 -----------------------
1,7.009,5.648,5.08,5.76,1.154,18.21
2,89.227,45.962,46.999,50.448,13.225,36.346
3,59.397,58.84,54.884,67.698,14.391,14.13
4,134.221,129.533,124.331,122.937,32.772,22.487
5,59.851,60.583,60.696,58.984,16.497,10.314
6,187.422,122.759,118.353,124.683,32.112,17.831
7,120.447,119.45,119.905,121.343,32.78,18.142
8,50.377,50.322,66.844,81.495,16.73,9.52
9,102.93,102.844,135.15,169.053,33.385,18.041
10,102.36,99.582,137.523,170.41,33.419,17.798
11,28.008,27.363,45.592,72.224,10.02,5.509
12,27.492,27.456,45.275,71.285,9.882,5.471
13,27.766,27.685,45.162,71.155,9.919,5.462
----------------------- Sparsity - 0.5 -----------------------
1,7.779,5.445,5.262,6.36,2.238,16.422
2,51.571,51.085,47.541,51.92,25.006,37.749
3,60.924,58.611,55.084,58.523,27.688,13.916
4,124.361,124.233,120.707,125.25,60.606,22.771
5,61.422,60.185,58.618,58.742,30.597,10.423
6,121.831,121.05,121.558,122.115,61.033,18.104
7,121.433,122.601,120.939,121.315,61.597,18.201
8,50.371,50.458,67.464,71.154,27.098,9.551
9,100.04,102.801,136.929,155.561,53.917,18.099
10,99.935,102.645,135.767,164.595,53.775,17.748
11,27.453,27.243,46.124,74.586,17.405,5.551
12,29.94,27.362,46.077,73.956,16.857,5.528
13,28.603,27.286,46.132,72.372,17.178,5.538
