----------------------- Threads - 1 -----------------------
1,17.733,15.795,16.785,19.54,1.709,19.696
2,244.557,244.49,245.623,248.563,24.686,49.552
3,235.862,233.644,233.895,234.484,22.92,18.954
4,469.439,468.666,470.168,469.896,45.933,33.893
5,242.143,242.205,256.183,254.732,24.103,17.312
6,503.598,503.502,485.994,486.304,46.168,30.427
7,484.798,484.823,485.529,549.729,52.159,45.635
8,258.957,258.919,260.86,261.367,23.876,21.763
9,519.092,518.322,521.725,523.678,48.249,60.934
10,521.634,519.02,521.58,523.63,47.769,44.097
11,147.55,147.536,148.305,148.959,14.982,22.272
12,147.542,147.563,148.298,148.957,14.98,22.27
13,147.536,147.553,168.682,169.846,15.174,27.568

----------------------- Threads - 2 -----------------------
1,12.283,9.7,9.658,10.831,1.006,10.22
2,148.939,130.063,127.828,126.699,13.189,28.503
3,104.791,105.666,104.226,108.264,10.268,12.193
4,243.226,243.645,240.651,250.256,23.68,18.774
5,123.787,124.431,126.374,133.807,11.903,9.416
6,252.864,252.079,252.977,302.773,26.893,24.002
7,273.951,252.673,252.797,268.143,23.807,16.872
8,133.893,135.938,139.021,139.242,13.799,11.997
9,271.751,270.091,278.206,279.206,27.63,23.487
10,269.836,269.584,278.09,279.264,27.632,23.586
11,77.507,77.973,77.731,77.684,7.749,12.402
12,77.183,77.195,77.118,78.163,7.872,12.24
13,77.509,77.777,77.333,77.936,7.799,12.16

----------------------- Threads - 4 -----------------------
1,7.31,6.024,5.448,5.707,0.506,6.324
2,86.609,85.259,71.053,71.507,6.846,16.182
3,57.257,55.846,56.914,58.102,5.829,6.792
4,126.845,126.829,128.028,131.397,13.442,10.258
5,66.21,66.758,66.557,71.729,6.505,4.985
6,134.152,133.354,133.928,142.851,13.033,8.76
7,138.467,142.064,145.284,151.838,13.298,12.095
8,75.604,75.609,74.389,74.946,8.169,6.532
9,154.89,153.685,151.075,149.314,15.904,12.346
10,149.743,148.703,148.268,148.75,16.176,12.302
11,40.085,40.592,39.931,40.263,5.763,6.351
12,40.377,40.123,39.783,40.102,5.85,6.336
13,40.641,40.267,39.97,40.603,5.764,6.533

----------------------- Threads - 8 -----------------------
1,4.091,3.613,3.403,3.732,0.368,4.369
2,42.863,42.869,43.42,44.182,4.974,9.997
3,31.872,32.166,33.214,33.942,3.466,6.64
4,73.028,73.124,69.658,71.652,7.241,6.339
5,36.179,36.148,36.385,39.08,3.936,3.113
6,72.305,72.246,72.968,78.194,7.976,5.334
7,72.242,72.301,72.41,77.953,7.913,5.211
8,42.121,42.246,40.537,43.035,5.089,3.63
9,84.328,83.238,79.658,85.158,10.172,7.027
10,82.475,84.37,80.069,85.394,10.176,7.15
11,22.145,22.194,21.299,40.507,4.172,3.651
12,22.413,22.418,21.516,40.505,4.112,3.709
13,22.288,22.078,21.3,40.546,4.124,3.723

----------------------- Threads - 16 -----------------------
1,2.49,2.284,2.25,2.617,0.222,5.501
2,30.38,29.995,30.522,31.992,3.06,11.113
3,24.785,23.72,21.565,18.591,1.841,2.944
4,39.304,39.292,38.657,39.081,4.142,4.195
5,20.58,20.583,20.56,22.688,2.52,1.846
6,40.895,40.89,40.939,44.986,5.043,4.226
7,40.892,40.892,40.942,44.988,5.039,4.213
8,22.287,22.288,22.668,22.794,3.719,2.805
9,44.659,44.638,45.695,45.846,7.437,5.497
10,44.652,44.643,45.336,45.654,7.437,4.214
11,11.929,11.929,22.728,43.671,2.975,2.167
12,11.928,11.93,22.554,43.663,2.974,2.163
13,11.931,11.927,22.733,43.884,2.977,2.156

----------------------- Threads - 32 -----------------------
1,3.88,2.32,2.205,2.304,0.234,4.686
2,21.274,17.194,19.425,22.617,1.958,10.045
3,19.243,16.655,15.608,15.692,1.373,3.554
4,35.27,33.878,33.673,34.643,3.186,5.838
5,19.151,19.294,19.597,16.48,1.713,2.606
6,39.876,38.914,39.038,37.307,3.664,4.686
7,37.181,38.02,39.344,32.314,4.281,4.644
8,12.531,12.774,19.611,36.106,2.27,2.869
9,25.64,25.37,41.246,70.837,4.7,5.652
10,31.618,25.84,41.604,64.99,4.853,5.626
11,15.98,13.494,25.986,51.706,3.031,2.005
12,19.937,13.437,25.963,51.733,3.115,1.981
13,18.098,13.611,28.383,51.503,2.981,1.996

----------------------- Threads - 64 -----------------------
1,2.258,2.148,2.257,2.535,0.183,5.621
2,41.239,30.944,27.107,29.975,2.817,17.628
3,18.981,17.235,16.912,16.338,1.892,4.936
4,54.698,47.625,51.31,48.701,4.574,12.618
5,32.508,31.285,26.301,21.952,3.038,5.108
6,38.516,39.761,44.438,39.425,4.753,7.74
7,44.926,44.383,48.686,46.121,5.311,11.55
8,24.254,34.324,35.13,55.564,2.963,4.748
9,49.494,50.443,75.003,111.172,7.815,10.027
10,70.089,56.552,75.421,116.962,8.473,7.914
11,27.301,33.779,53.275,97.937,7.002,2.976
12,26.051,25.805,52.004,103.512,4.585,3.249
13,35.567,34.871,54.368,101.669,6.368,3.041
